SWV ITM Data Console - ITM Port: 0
IMU,155284,AX=0.061523,AY=-0.012695,AZ=0.934570,MX=0.433500,MY=-0.051000,MZ=-0.598500,GX=0.019185,GY=0.313159,GZ=0.111402
IMU,155286,AX=0.061523,AY=-0.012695,AZ=0.934570,MX=0.426000,MY=-0.045000,MZ=-0.600000,GX=0.011946,GY=0.239783,GZ=0.274214
IMU,155288,AX=0.060547,AY=-0.008789,AZ=0.928711,MX=0.426000,MY=-0.045000,MZ=-0.600000,GX=0.003175,GY=0.173438,GZ=0.435644
IMU,155290,AX=0.060547,AY=-0.008789,AZ=0.928711,MX=0.426000,MY=-0.045000,MZ=-0.600000,GX=-0.000884,GY=0.147433,GZ=0.502886
IMU,155292,AX=0.060547,AY=-0.008789,AZ=0.928711,MX=0.426000,MY=-0.045000,MZ=-0.600000,GX=-0.001394,GY=0.146723,GZ=0.507276
IMU,155294,AX=0.060547,AY=-0.008789,AZ=0.928711,MX=0.426000,MY=-0.045000,MZ=-0.600000,GX=-0.013428,GY=0.141364,GZ=0.460194
IMU,155296,AX=0.060547,AY=-0.008789,AZ=0.928711,MX=0.430500,MY=-0.043500,MZ=-0.606000,GX=-0.046806,GY=0.115059,GZ=0.361371
IMU,155298,AX=0.064453,AY=-0.011719,AZ=0.937500,MX=0.430500,MY=-0.043500,MZ=-0.606000,GX=-0.078883,GY=0.087315,GZ=0.273876
IMU,155300,AX=0.064453,AY=-0.011719,AZ=0.937500,MX=0.430500,MY=-0.043500,MZ=-0.606000,GX=-0.091986,GY=0.075336,GZ=0.240101
IMU,155302,AX=0.064453,AY=-0.011719,AZ=0.937500,MX=0.430500,MY=-0.043500,MZ=-0.606000,GX=-0.110486,GY=0.047595,GZ=0.341239
IMU,155304,AX=0.064453,AY=-0.011719,AZ=0.937500,MX=0.430500,MY=-0.043500,MZ=-0.606000,GX=-0.155199,GY=-0.021404,GZ=0.621081
IMU,155306,AX=0.064453,AY=-0.011719,AZ=0.937500,MX=0.430500,MY=-0.033000,MZ=-0.609000,GX=-0.198336,GY=-0.087408,GZ=0.885069
IMU,155308,AX=0.064453,AY=-0.012695,AZ=0.933594,MX=0.433500,MY=-0.033000,MZ=-0.609000,GX=-0.216001,GY=-0.114288,GZ=0.991602
IMU,155310,AX=0.065430,AY=-0.012695,AZ=0.933594,MX=0.433500,MY=-0.033000,MZ=-0.609000,GX=-0.216970,GY=-0.115671,GZ=0.996480
IMU,155312,AX=0.065430,AY=-0.012695,AZ=0.933594,MX=0.433500,MY=-0.033000,MZ=-0.609000,GX=-0.158485,GY=-0.093287,GZ=0.874960
IMU,155314,AX=0.065430,AY=-0.012695,AZ=0.933594,MX=0.433500,MY=-0.033000,MZ=-0.609000,GX=-0.009640,GY=-0.044856,GZ=0.596364
IMU,155316,AX=0.065430,AY=-0.012695,AZ=0.933594,MX=0.433500,MY=-0.033000,MZ=-0.607500,GX=0.130161,GY=-0.001475,GZ=0.342168
IMU,155318,AX=0.065430,AY=-0.012695,AZ=0.934570,MX=0.435000,MY=-0.031500,MZ=-0.607500,GX=0.186413,GY=0.015415,GZ=0.241891
IMU,155320,AX=0.067383,AY=-0.007812,AZ=0.934570,MX=0.435000,MY=-0.031500,MZ=-0.607500,GX=0.188886,GY=0.015802,GZ=0.238742
IMU,155322,AX=0.067383,AY=-0.007812,AZ=0.934570,MX=0.435000,MY=-0.031500,MZ=-0.607500,GX=0.153464,GY=0.015615,GZ=0.169105
IMU,155324,AX=0.067383,AY=-0.007812,AZ=0.934570,MX=0.435000,MY=-0.031500,MZ=-0.607500,GX=0.083293,GY=0.023022,GZ=-0.062479
IMU,155326,AX=0.067383,AY=-0.007812,AZ=0.934570,MX=0.435000,MY=-0.031500,MZ=-0.603000,GX=0.022256,GY=0.031853,GZ=-0.293133
IMU,155328,AX=0.067383,AY=-0.007812,AZ=0.950195,MX=0.439500,MY=-0.049500,MZ=-0.603000,GX=-0.000996,GY=0.035911,GZ=-0.389474
IMU,155330,AX=0.065430,AY=-0.009766,AZ=0.939453,MX=0.439500,MY=-0.049500,MZ=-0.603000,GX=0.034407,GY=0.031319,GZ=-0.422626
IMU,155332,AX=0.065430,AY=-0.009766,AZ=0.939453,MX=0.439500,MY=-0.049500,MZ=-0.603000,GX=0.135238,GY=0.017041,GZ=-0.473970
IMU,155334,AX=0.065430,AY=-0.009766,AZ=0.939453,MX=0.439500,MY=-0.049500,MZ=-0.603000,GX=0.229570,GY=0.003533,GZ=-0.526761
IMU,155336,AX=0.065430,AY=-0.009766,AZ=0.939453,MX=0.439500,MY=-0.049500,MZ=-0.603000,GX=0.267428,GY=-0.001929,GZ=-0.549230
IMU,155338,AX=0.065430,AY=-0.009766,AZ=0.939453,MX=0.444000,MY=-0.052500,MZ=-0.598500,GX=0.269029,GY=-0.002186,GZ=-0.550987
IMU,155340,AX=0.062500,AY=-0.013672,AZ=0.936523,MX=0.444000,MY=-0.052500,MZ=-0.598500,GX=0.260552,GY=0.009193,GZ=-0.560485
IMU,155342,AX=0.062500,AY=-0.013672,AZ=0.936523,MX=0.444000,MY=-0.052500,MZ=-0.598500,GX=0.254459,GY=0.037238,GZ=-0.594389
IMU,155344,AX=0.062500,AY=-0.013672,AZ=0.936523,MX=0.444000,MY=-0.052500,MZ=-0.598500,GX=0.252509,GY=0.063359,GZ=-0.628730
